,low,high,open,close,volume,time
45519,1377.93,1377.94,1377.93,1377.94,0.0851,2021-01-30 21:12:00
45520,1377.94,1378.73,1377.94,1378.63,0.7088,2021-01-30 21:14:00
45521,1373.36,1378.01,1377.34,1373.36,0.2015,2021-01-30 21:17:00
45522,1373.01,1373.76,1373.76,1373.01,0.3295,2021-01-30 21:18:00
45523,1372.85,1378.34,1377.81,1377.8,0.4637,2021-01-30 21:21:00
45524,1370.63,1372.84,1372.84,1370.79,0.3706,2021-01-30 21:22:00
45525,1374.95,1375.82,1375.32,1374.95,0.1407,2021-01-30 21:23:00
45526,1374.06,1377.83,1374.06,1377.83,0.2645,2021-01-30 21:26:00
45527,1381.25,1382.16,1381.25,1382.16,0.1756,2021-01-30 21:27:00
45528,1370.76,1377.02,1371.23,1377.02,0.4815,2021-01-30 21:28:00
45529,1376.66,1379.39,1376.81,1376.66,0.1324,2021-01-30 21:32:00
45530,1373.71,1379.29,1373.71,1379.29,0.0938,2021-01-30 21:35:00
45531,1379.29,1383.92,1379.29,1381.05,0.1776,2021-01-30 21:38:00
45532,1376.31,1378.23,1378.23,1376.31,0.0285,2021-01-30 21:40:00
45533,1374.88,1379.16,1374.88,1375.04,0.8172,2021-01-30 21:41:00
45534,1375.6,1379.16,1379.16,1375.6,0.0463,2021-01-30 21:43:00
45535,1374.79,1375.57,1375.57,1374.79,0.4202,2021-01-30 21:45:00
45536,1374.96,1383.88,1379.16,1374.96,0.2547,2021-01-30 21:46:00
45537,1374.85,1382.36,1374.85,1382.36,0.9757,2021-01-30 21:49:00
45538,1378.13,1382.46,1378.13,1382.46,3.5201,2021-01-30 21:52:00
45539,1379.17,1382.35,1379.17,1380.27,0.358,2021-01-30 21:54:00
45540,1377.84,1384.83,1377.84,1384.83,0.0332,2021-01-30 21:55:00
45541,1382.63,1386.91,1382.63,1386.91,0.0537,2021-01-30 21:59:00
45542,1382.2,1385.86,1384.4,1385.86,0.1293,2021-01-30 22:02:00
45543,1387.57,1387.57,1387.57,1387.57,0.0494,2021-01-30 22:06:00
45544,1382.24,1384.16,1382.45,1383.65,0.272,2021-01-30 22:08:00
45545,1386.12,1391.89,1388.77,1386.12,2.218,2021-01-30 22:11:00
45546,1384.73,1386.42,1386.42,1384.98,1.31,2021-01-30 22:12:00
45547,1384.73,1389.03,1389.03,1384.73,0.047,2021-01-30 22:13:00
45548,1385.56,1388.45,1388.45,1385.56,0.0809,2021-01-30 22:18:00
45549,1384.74,1387.59,1385.54,1387.59,4.8626,2021-01-30 22:19:00
45550,1384.85,1390.11,1384.85,1388.91,1.019,2021-01-30 22:21:00
45551,1381.88,1387.49,1383.96,1387.49,0.4187,2021-01-30 22:22:00
45552,1386.44,1388.08,1386.44,1388.08,2.8837,2021-01-30 22:23:00
45553,1384.22,1386.71,1386.71,1384.22,0.0863,2021-01-30 22:27:00
45554,1383.25,1390.82,1384.31,1390.82,3.1053,2021-01-30 22:31:00
45555,1386.26,1389.72,1389.72,1388.46,0.0723,2021-01-30 22:34:00
45556,1385.83,1386.08,1385.83,1386.08,0.1397,2021-01-30 22:35:00
45557,1386.4,1393.53,1386.4,1393.53,1.2379,2021-01-30 22:38:00
45558,1385.39,1387.97,1387.97,1385.39,1.4754,2021-01-30 22:39:00
45559,1381.88,1383.84,1382.51,1383.07,0.774,2021-01-30 22:40:00
45560,1387.81,1388.15,1387.81,1388.15,0.1748,2021-01-30 22:43:00
45561,1386.07,1390.5,1388.83,1390.5,0.2961,2021-01-30 22:45:00
45562,1384.82,1384.84,1384.82,1384.84,0.0742,2021-01-30 22:46:00
45563,1388.4,1392.23,1388.4,1392.23,6.29654832,2021-01-30 22:48:00
45564,1388.3,1392.85,1390.33,1391.26,4.3807,2021-01-30 22:49:00
45565,1384.93,1390.37,1390.37,1384.93,0.4139,2021-01-30 22:51:00
45566,1384.8,1388.98,1384.82,1388.96,0.3403,2021-01-30 22:53:00
45567,1394.62,1395.24,1394.62,1395.24,0.2795,2021-01-30 22:55:00
45568,1392.1,1392.98,1392.98,1392.1,0.2621,2021-01-30 22:59:00
45569,1383.76,1385.47,1385.47,1383.76,0.7252,2021-01-30 23:00:00
45570,1383.94,1389.5,1389.5,1383.94,0.1541,2021-01-30 23:03:00
45571,1391.17,1391.7,1391.17,1391.7,0.1868,2021-01-30 23:05:00
45572,1384.44,1385.87,1384.44,1385.87,0.0929,2021-01-30 23:07:00
45573,1379.45,1387.22,1387.22,1379.49,1.1009,2021-01-30 23:11:00
45574,1378.71,1378.75,1378.75,1378.71,0.057,2021-01-30 23:15:00
45575,1378.67,1386.48,1382.97,1378.67,0.1298,2021-01-30 23:17:00
45576,1380.67,1382.34,1380.67,1382.34,0.1446,2021-01-30 23:21:00
45577,1378.67,1381.03,1379.71,1378.67,0.3594,2021-01-30 23:22:00
45578,1379.56,1379.81,1379.56,1379.81,0.0771,2021-01-30 23:24:00
45579,1375.93,1380.95,1380.44,1375.93,0.5352,2021-01-30 23:26:00
45580,1376.2,1376.61,1376.21,1376.61,2.5943,2021-01-30 23:28:00
45581,1379.98,1380.0,1379.98,1380.0,1.043,2021-01-30 23:30:00
45582,1378.18,1383.92,1380.0,1378.18,0.9868,2021-01-30 23:32:00
45583,1379.03,1384.01,1379.03,1382.16,0.1435,2021-01-30 23:34:00
45584,1385.53,1385.6,1385.53,1385.6,0.0963,2021-01-30 23:41:00
45585,1381.77,1387.45,1381.77,1382.61,0.6948,2021-01-30 23:44:00
45586,1379.32,1380.87,1380.87,1379.32,0.2121,2021-01-30 23:47:00
45587,1379.8,1380.81,1380.81,1379.8,0.2229,2021-01-30 23:53:00
45588,1373.3,1376.8,1376.8,1373.3,0.5292,2021-01-30 23:55:00
45589,1371.21,1375.24,1372.2,1375.24,1.5578,2021-01-31 00:03:00
45590,1377.23,1379.89,1379.89,1377.23,0.08679493,2021-01-31 00:07:00
45591,1377.31,1382.98,1377.31,1379.88,30.2192,2021-01-31 00:10:00
45592,1377.4,1378.27,1378.27,1377.4,1.504,2021-01-31 00:18:00
45593,1376.24,1376.93,1376.93,1376.24,0.1441,2021-01-31 00:23:00
45594,1374.37,1375.13,1375.13,1374.37,0.3281,2021-01-31 00:25:00
45595,1373.22,1373.22,1373.22,1373.22,0.0728,2021-01-31 00:26:00
45596,1372.02,1373.49,1373.49,1372.02,0.4049,2021-01-31 00:28:00
45597,1371.23,1371.47,1371.23,1371.47,0.3513,2021-01-31 00:29:00
45598,1370.23,1376.44,1374.5,1370.23,10.2485,2021-01-31 00:31:00
45599,1372.71,1372.71,1372.71,1372.71,0.0418,2021-01-31 00:32:00
45600,1364.72,1368.32,1368.32,1365.83,1.9673,2021-01-31 00:39:00
45601,1366.11,1367.33,1367.33,1366.22,0.5545,2021-01-31 00:45:00
45602,1365.31,1365.96,1365.31,1365.49,1.1904,2021-01-31 00:47:00
